Title,Author,Rating,Avg Rating,Date Added,Num Pages,Genre
Hunger(Unbound #3),"Gonnella, Nicoli",it was ok,4.43,"Apr 19, 2025","1,035pp",Fantasy
Silence(Unbound #2),"Gonnella, Nicoli",liked it,4.23,"Apr 19, 2025",482pp,Fantasy
Dissonance(Unbound #1),"Gonnella, Nicoli",really liked it,4.38,"Apr 16, 2025",778pp,Fantasy
"The Dungeon Anarchist's Cookbook(Dungeon Crawler Carl, #3)","Dinniman, Matt",it was ok,4.48,"Apr 15, 2025",534pp,Fantasy
"Carl's Doomsday Scenario(Dungeon Crawler Carl, #2)","Dinniman, Matt",liked it,4.53,"Apr 14, 2025",364pp,Fantasy
"Dungeon Crawler Carl(Dungeon Crawler Carl, #1)","Dinniman, Matt",liked it,4.51,"Apr 13, 2025",446pp,Fantasy
Broken Sky(Skies of Cyrna #1),"Bell, Morgan K.",,4.15,"Mar 10, 2025",352pp,Fantasy
The Party,"Preston, Natasha",it was ok,3.53,"Feb 22, 2025",352pp,Thriller
"Wrath of the Triple Goddess(Percy Jackson and the Olympians: The Senior Year Adventures, #2)","Riordan, Rick",,4.16,"Jan 04, 2025",322pp,Fantasy
"The Chalice of the Gods(Percy Jackson and the Olympians: The Senior Year Adventures, #1)","Riordan, Rick",liked it,4.28,"Jan 03, 2025",288pp,Fantasy
Council of Peacocks(Activation #1),"Murphy, M. Joseph",,4.02,"Jan 01, 2025",unknown,Fantasy
The Boyfriend,"McFadden, Freida",liked it,4.03,"Dec 30, 2024",368pp,Thriller
Power Rangers Prime #1,"Flores, Melissa",liked it,4.48,"Dec 30, 2024",unknown,Comics
Absolute Superman (2024-) #2,"Aaron, Jason",really liked it,4.34,"Dec 30, 2024",unknown,Comics
Absolute Superman (2024-) #1,"Aaron, Jason",liked it,4.27,"Dec 30, 2024",unknown,Comics
Absolute Batman (2024-) #3,"Snyder, Scott",it was amazing,4.35,"Dec 30, 2024",unknown,Comics
Absolute Batman (2024-) #2,"Snyder, Scott",really liked it,4.43,"Dec 30, 2024",unknown,Comics
Absolute Batman (2024-) #1,"Snyder, Scott",really liked it,4.55,"Dec 30, 2024",unknown,Comics
The Hike,"Magary, Drew",it was ok,3.97,"Dec 29, 2024",278pp,Fantasy
Upgrade,"Crouch, Blake",really liked it,3.81,"Dec 27, 2024",352pp,Science Fiction
"Foundation(Foundation, #1)","Asimov, Isaac",,4.17,"Nov 10, 2024",244pp,Science Fiction
"Mickey7(Mickey7, #1)","Ashton, Edward",,3.79,"Sep 18, 2024",296pp,Science Fiction
"The Rules of Supervillainy(The Supervillainy Saga, #1)","Phipps, C.T.",liked it,3.90,"Aug 22, 2024",242pp,Fantasy
"Six Crimson Cranes(Six Crimson Cranes, #1)","Lim, Elizabeth",really liked it,4.19,"Aug 21, 2024",454pp,Fantasy
Only Big Bumbum Matters Tomorrow,"Kuku, Damilare",liked it,3.61,"Jul 27, 2024",272pp,Fiction
Superman: Secret Identity,"Busiek, Kurt",really liked it,4.27,"Jun 24, 2024",208pp,Comics
The Five Sorrowful Mysteries of Andy Africa,"Buoro, Stephen",,3.65,"Feb 09, 2024",336pp,Fiction
"The Maddest Obsession(Made, #2)","Lori, Danielle",,4.25,"Jan 08, 2024",333pp,Dark Romance
None of This Is True,"Jewell, Lisa",,4.09,"Dec 28, 2023",390pp,Thriller
Want to Know a Secret?,"McFadden, Freida",,3.94,"Dec 28, 2023",398pp,Thriller
"Defiance of the Fall 11(Defiance of the Fall, #11)",Thefirstdefier,did not like it,4.53,"Dec 28, 2023",662pp,Fantasy
"Defiance of the Fall 10(Defiance of the Fall, #10)",Thefirstdefier,did not like it,4.51,"Dec 28, 2023",564pp,Fantasy
"Defiance of the Fall 9(Defiance of the Fall, #9)",Thefirstdefier,it was ok,4.48,"Dec 28, 2023",771pp,Fantasy
"Defiance of the Fall 8(Defiance of the Fall, #8)",Thefirstdefier,it was ok,4.50,"Dec 28, 2023",748pp,Fantasy
"Defiance of the Fall 7(Defiance of the Fall, #7)",Thefirstdefier,it was ok,4.42,"Dec 28, 2023",798pp,Fantasy
"Defiance of the Fall 6(Defiance of the Fall, #6)",Thefirstdefier,liked it,4.38,"Dec 28, 2023",782pp,Fantasy
"Defiance of the Fall 5(Defiance of the Fall, #5)",Thefirstdefier,really liked it,4.50,"Dec 28, 2023",662pp,Fantasy
